nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
El Obrador de Sensibles ,37.8861286,-4.8053873,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/El+Obrador+de+Sensibles+/@37.8861286,-4.8053873,17z"
Restaurante Entre Lías,37.8887838,-4.782303000000001,,Mediterráneo,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Restaurante+Entre+L%C3%ADas/@37.8887838,-4.782303000000001,17z"
Taberna La Herencia By El Pisto,37.8828264,-4.772414899999999,,Mediterránea ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Taberna+La+Herencia+By+El+Pisto/@37.8828264,-4.772414899999999,17z"
Cielito Lindo Café,37.8867735,-4.7653549,,Mexicano,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Cielito+Lindo+Caf%C3%A9/@37.8867735,-4.7653549,17z"
Coffee and Toffee,37.9769303,-0.6809183999999999,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Coffee+and+Toffee/@37.9769303,-0.6809183999999999,17z"
Restaurante Orión,38.3724014,-0.4144765,,Mediterráneo,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Restaurante+Ori%C3%B3n/@38.3724014,-0.4144765,17z"
Restaurante MADE,38.5090422,-0.222253,,Mediterráneo,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Restaurante+MADE/@38.5090422,-0.222253,17z"
Sant Joan Bistró,39.491287,-0.4568848,,Mediterránea ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sant+Joan+Bistr%C3%B3/@39.491287,-0.4568848,17z"
Tinobu Healthy food & Coffee,39.4556018,-0.3584433,,Cafetería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Tinobu+Healthy+food+%26+Coffee/@39.4556018,-0.3584433,17z"
Sana Locura | Valencia,39.4685078,-0.376509,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sana+Locura+%7C+Valencia/@39.4685078,-0.376509,17z"
Naked & Sated | Valencia,39.46849599999999,-0.3762044,,Healthy,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Naked+%26+Sated+%7C+Valencia/@39.46849599999999,-0.3762044,17z"
Marisquería Civera,39.4687944,-0.3744028,,Marisquería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Marisquer%C3%ADa+Civera/@39.4687944,-0.3744028,17z"
Berguna Gluten Free,39.470966,-0.375764,,Healthy,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Berguna+Gluten+Free/@39.470966,-0.375764,17z"
Chök Pau | Pastelería sin gluten Valencia,39.4732571,-0.3724705,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Ch%C3%B6k+Pau+%7C+Pasteler%C3%ADa+sin+gluten+Valencia/@39.4732571,-0.3724705,17z"
Butter Eatery House | Specialty Coffee & Gluten Free Brunch,39.4690099,-0.3660942,,Cafetería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Butter+Eatery+House+%7C+Specialty+Coffee+%26+Gluten+Free+Brunch/@39.4690099,-0.3660942,17z"
Miracle,39.4711672,-0.3482398,,Mediterránea,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Miracle/@39.4711672,-0.3482398,17z"
Gato Blanco Restaurante,39.4837912,-0.3765987,,Mediterránea ,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Gato+Blanco+Restaurante/@39.4837912,-0.3765987,17z"
Casualmente,39.663526,-0.2126408,,Pizzería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Casualmente/@39.663526,-0.2126408,17z"
