nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
McDonald's,52.275958,4.572571,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.275958,4.572571,17z"
McDonald's,52.2256625,5.1764917,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.2256625,5.1764917,17z"
McDonald's,52.2210285,5.144356500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.2210285,5.144356500000001,17z"
McDonald's Holten,52.2539282,6.4360322,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Holten/@52.2539282,6.4360322,17z"
McDonald's,52.28946,4.723360200000002,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.28946,4.723360200000002,17z"
McDonald's,51.8744951,4.3580753,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.8744951,4.3580753,17z"
McDonald's,52.64792749999999,5.033529100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.64792749999999,5.033529100000001,17z"
McDonald’s Hoorn Noord,52.68023650000001,5.083923,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%E2%80%99s+Hoorn+Noord/@52.68023650000001,5.083923,17z"
McDonald's,52.11385139999999,5.260081,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.11385139999999,5.260081,17z"
McDonald's,52.01495060000001,5.062699500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.01495060000001,5.062699500000001,17z"
McDonald's,52.95853709999999,5.8117405,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.95853709999999,5.8117405,17z"
McDonald's,52.5575071,5.884605199999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.5575071,5.884605199999999,17z"
